date,station,boarding,alighting,total,day_of_week,is_weekend,is_holiday,month,year,covid_dummy
2018-02-19,홍대입구,84209.0,89197.0,173406.0,0,0,0,2,2018,0
2018-02-20,신도림,65183.0,64088.0,129271.0,1,0,0,2,2018,0
2018-02-20,강남,126704.0,125952.0,252656.0,1,0,0,2,2018,0
2018-02-20,잠실,103864.0,97800.0,201664.0,1,0,0,2,2018,0
2018-02-20,홍대입구,87283.0,91012.0,178295.0,1,0,0,2,2018,0
2018-02-21,홍대입구,88049.0,92656.0,180705.0,2,0,0,2,2018,0
2018-02-21,잠실,102341.0,97008.0,199349.0,2,0,0,2,2018,0
2018-02-21,신도림,65631.0,64596.0,130227.0,2,0,0,2,2018,0
2018-02-21,강남,128275.0,126812.0,255087.0,2,0,0,2,2018,0
2018-02-22,홍대입구,91874.0,97290.0,189164.0,3,0,0,2,2018,0
2018-02-22,잠실,106288.0,100110.0,206398.0,3,0,0,2,2018,0
2018-02-22,강남,126866.0,125912.0,252778.0,3,0,0,2,2018,0
2018-02-22,신도림,66357.0,65318.0,131675.0,3,0,0,2,2018,0
2018-02-23,신도림,69750.0,69861.0,139611.0,4,0,0,2,2018,0
2018-02-23,강남,132809.0,137158.0,269967.0,4,0,0,2,2018,0
2018-02-23,홍대입구,96360.0,110594.0,206954.0,4,0,0,2,2018,0
2018-02-23,잠실,108455.0,101702.0,210157.0,4,0,0,2,2018,0
2018-02-24,홍대입구,109369.0,124029.0,233398.0,5,1,0,2,2018,0
2018-02-24,강남,101418.0,106722.0,208140.0,5,1,0,2,2018,0
2018-02-24,신도림,65379.0,65877.0,131256.0,5,1,0,2,2018,0
2018-02-24,잠실,99483.0,92070.0,191553.0,5,1,0,2,2018,0
2018-02-25,홍대입구,88041.0,85978.0,174019.0,6,1,0,2,2018,0
2018-02-25,강남,62365.0,61177.0,123542.0,6,1,0,2,2018,0
2018-02-25,신도림,45699.0,45675.0,91374.0,6,1,0,2,2018,0
2018-02-25,잠실,74710.0,68225.0,142935.0,6,1,0,2,2018,0
2018-02-26,홍대입구,84484.0,87788.0,172272.0,0,0,0,2,2018,0
2018-02-26,잠실,103141.0,98957.0,202098.0,0,0,0,2,2018,0
2018-02-26,신도림,64746.0,63072.0,127818.0,0,0,0,2,2018,0
2018-02-26,강남,121161.0,120801.0,241962.0,0,0,0,2,2018,0
2018-02-27,잠실,106787.0,101423.0,208210.0,1,0,0,2,2018,0
2018-02-27,강남,124789.0,123786.0,248575.0,1,0,0,2,2018,0
